name,annot
Hydropsychidae,Water quality indicator
Hydroptilidae,Predators
Hygrobiidae,Predators
Hymenopodidae,Predators
Hystrichopsyllidae,Includes pests
Ibaliidae,Parasitoids
Ichneumonidae,Parasitoids
Immidae,Pollinators
Incurvariidae,Includes pests
Ironomyiidae,General
Ischnopsyllidae,Includes pests
Isostictidae,Predators
Issidae,General
Ithonidae,Predators
Kalotermitidae,Includes pests
Kateretidae,General
Keroplatidae,General
Kerriidae,Commercially farmed
Kokiriidae,Predators
Labiduridae,General
Lachesillidae,General
Lacturidae,Pollinators
Laemobothriidae,Includes pests
Laemophloeidae,General
Lampyridae,General
Largidae,Includes pests
Lasiocampidae,General
Latridiidae,General
Lauxaniidae,General
Lecithoceridae,General
Leiodidae,General
Lepidopsocidae,General
Lepismatidae,General
Leptoceridae,Water quality indicator
Leptophlebiidae,Water quality indicator
Leptopsyllidae,Includes pests
Lestidae,Predators
Leucospidae,Ectoparasites of insects
Libellulidae,Predators
Limacodidae,General
Limnephilidae,Water quality indicator
Limnichidae,Water quality indicator
Limoniidae,Includes predators
Linognathidae,Parasites of mammals
Liopteridae,Parasitoids
Liposcelididae,General
Liturgusidae,Predators
Liviidae,Includes pests
Lonchaeidae,Includes pests
Lonchopteridae,General
Lophocoronidae,General
Lophopidae,General
Lucanidae,General
Lycaenidae,General
Lycidae,General
Lygaeidae,Includes pests
Lymexylidae,Includes pests
Lyonetiidae,Includes pests
Macromiidae,Predators
Mantidae,Predators
Mantispidae,Predators
Mastotermitidae,Includes pests
Meenoplidae,General
Meessiidae,General
Megachilidae,Pollinators
Megalyridae,Parasitoids
Megapodagrionidae,Predators
Megaspilidae,Parasitoids
Megastigmidae,Parasitoids
Meinertellidae,General
Melandryidae,General
Melanthripidae,Includes pests
Meloidae,General
Melyridae,Pollinators
Membracidae,Includes pests
Mengenillidae,General
Menoponidae,Parasites of birds
Meropeidae,General
Merothripidae,Includes pests
Mesopsocidae,General
Mesoveliidae,Predators
Micronectidae,Water quality indicator
Micropezidae,General
Micropterigidae,General
Milichiidae,kleptoparasites
Miridae,Includes prests
Mogoplistidae,General
Momphidae,Includes pests
Monomachidae,Parasitoids
Monotomidae,Predators
Morabidae,General
Mordellidae,General
Muscidae,General
Mutillidae,Pollinators
Mycetophagidae,General
Mycetophilidae,General
Mycteridae,Pollinators
Mydidae,General
Mymaridae,Parasitoids
Mymarommatidae,Parasitoids
Myrmecolacidae,General
Myrmeleontidae,Predators
Nabidae,Predators
Nannochoristidae,Predators
Naucoridae,Water quality indicator
Nemestrinidae,Endoparasites of insects
Nemonychidae,General
Nemopteridae,General
Nepidae,Predators
Nepticulidae,General
Neriidae,General
Nesameletidae,Water quality indicator
Nicoletiidae,General
Ninidae,General
Nitidulidae,Includes pests
Noctuidae,Includes pests
Nolidae,General
Nosodendridae,General
Noteridae,Water quality indicator
Notodontidae,General
Notoligotomidae,General
Notonectidae,Predators
Notonemouridae,Water quality indicator
Nycteribiidae,Ectoparasites of bats
Nymphalidae,Pollinators
Nymphidae,Predators
Ochteridae,Predators
Odiniidae,General
Odontoceridae,Water quality indicator
Oeconesidae,General
Oecophoridae,General
Oedemeridae,General
Oenosandridae,General
Oestridae,Parasites of mammals
Oligotomidae,General
Ommatidae,General
Oniscigastridae,Water quality indicator
Opostegidae,General
Ormyridae,Parasitoids
Ortheziidae,Includes pests
Orussidae,Parasitoids
Osmylidae,Predators
Oxycarenidae,General
Pachygronthidae,General
Palaephatidae,General
Papilionidae,Pollinators
Passalidae,General
Passandridae,Ectoparasitic of other insects
Pediciidae,General
Pediculidae,Ectoparasites of mammals
Pelecorhynchidae,Predators
Peloridiidae,General
Pentatomidae,Includes pests
Pergidae,Includes pests
Perilampidae,Parasitoids
Peripsocidae,General
Periscelididae,General
Petaluridae,Predators
Phacopteronidae,General
Phalacridae,Pollinators
Phalangopsidae,General
Phasmatidae,General
Philopotamidae,Water quality indicator
Philopteridae,Ectoparasites of birds
Philorheithridae,Predators
Philotarsidae,General
Phlaeothripidae,Includes pests
Phloeostichidae,General
Phoridae,General
Phylliidae,General
Phylloxeridae,Includes pests
Pieridae,Pollinators
Piesmatidae,General
Piophilidae,General
Pipunculidae,General
Plataspidae,Includes pests
Platycnemididae,Predators
Platygastridae,Parasitoids
Platypezidae,General
Platystomatidae,General
Plectrotarsidae,Water quality indicator
Pleidae,Predators
Plutellidae,Includes pests
Polycentropodidae,Predators
Polyctenidae,Ectoparasites of bats
Polyplacidae,Ectoparasites of mammals
Pompilidae,Parasitoids
Proctotrupidae,Parasitoids
Prosopistomatidae,Water quality indicator
Prostomidae,General
Protocucujidae,General
Psephenidae,General
Pseudocaeciliidae,General
Pseudococcidae,Includes pests
Psilidae,General
Psocidae,General
Psychidae,General
Psychodidae,General
Psychomyiidae,Predators
Psychopsidae,General
Psyllidae,Include pests
Psyllipsocidae,General
Pteromalidae,Parasitoids
Pterophoridae,General
Pthiridae,Ectoparasitoids of mammals
Ptiliidae,General
Ptilodactylidae,General
Ptinidae,Includes pests
Pulicidae,Ectoparasites
Pygidicranidae,General
Pygiopsyllidae,Endoparasites of mammals
Pyralidae,Includes pests
Pyrgomorphidae,General
Pyrgotidae,Endoparasitoids
Pyrochroidae,General
Pyrrhocoridae,General
Pythidae,General
Reduviidae,Predators
Rhagionidae,General
Rhaphidophoridae,General
Rhiniidae,General
Rhinophoridae,General
Rhinotermitidae,Includes pests
Rhopalidae,Includes pests
Rhopalopsyllidae,Ectoparasites
Rhyparochromidae,General
