	Run	Project	Time	Bande	sex	mere	Weaned
SF4523	3	Kinetic	D48	1112	2	17MAG105122	FALSE
SF4543	3	Kinetic	D48	1112	2	17MAG104818	FALSE
SF4583	3	Kinetic	D48	1112	1	17MAG105040	FALSE
SF5183	3	Kinetic	D48	1113	1	17MAG105121	FALSE
SF5203	3	Kinetic	D48	1113	1	17MAG104194	FALSE
SF5233	3	Kinetic	D48	1113	1	17MAG095083	FALSE
SF5263	3	Kinetic	D48	1113	2	17MAG103303	FALSE
SF5273	3	Kinetic	D48	1113	2	17MAG103313	FALSE
SF5303	3	Kinetic	D48	1113	2	17MAG105042	FALSE
SF0904	3	Kinetic	D60	1105	1	17MAG101814	FALSE
SF0934	3	Kinetic	D60	1105	2	17MAG101827	FALSE
SF0954	3	Kinetic	D60	1105	1	17MAG101855	FALSE
SF1014	3	Kinetic	D60	1105	2	17MAG101965	FALSE
SF1034	3	Kinetic	D60	1105	1	17MAG102029	FALSE
SF1834	3	Kinetic	D60	1106	1	17MAG082150	FALSE
SF1864	3	Kinetic	D60	1106	2	17MAG082210	FALSE
SF1874	3	Kinetic	D60	1106	1	17MAG085889	FALSE
SF1914	3	Kinetic	D60	1106	1	17MAG103303	FALSE
SF1934	3	Kinetic	D60	1106	2	17MAG103313	FALSE
SF2644	3	Kinetic	D60	1110	1	17MAG094915	FALSE
SF2674	3	Kinetic	D60	1110	1	17MAG095009	FALSE
SF2724	3	Kinetic	D60	1110	2	17MAG103324	FALSE
SF2744	3	Kinetic	D60	1110	2	17MAG103300	FALSE
SF2754	3	Kinetic	D60	1110	2	17MAG103609	FALSE
SF2804	3	Kinetic	D60	1111	2	17MAG103836	FALSE
SF2824	3	Kinetic	D60	1111	2	17MAG103881	FALSE
SF2884	3	Kinetic	D60	1111	1	17MAG103898	FALSE
SF2924	3	Kinetic	D60	1111	2	17MAG104167	FALSE
SF2944	3	Kinetic	D60	1111	1	17MAG104190	FALSE
SF4484	3	Kinetic	D60	1112	1	17MAG104203	FALSE
SF4494	3	Kinetic	D60	1112	1	17MAG104634	FALSE
SF4524	3	Kinetic	D60	1112	2	17MAG105122	FALSE
SF4544	3	Kinetic	D60	1112	2	17MAG104818	FALSE
SF4584	3	Kinetic	D60	1112	1	17MAG105040	FALSE
SF5184	3	Kinetic	D60	1113	1	17MAG105121	FALSE
SF5204	3	Kinetic	D60	1113	1	17MAG104194	FALSE
SF5234	3	Kinetic	D60	1113	1	17MAG095083	FALSE
SF5264	3	Kinetic	D60	1113	2	17MAG103303	FALSE
SF5274	3	Kinetic	D60	1113	2	17MAG103313	FALSE
SF5304	3	Kinetic	D60	1113	2	17MAG105042	FALSE
SF0905	3	Kinetic	D70	1105	1	17MAG101814	FALSE
SF0935	3	Kinetic	D70	1105	2	17MAG101827	FALSE
SF0955	3	Kinetic	D70	1105	1	17MAG101855	FALSE
